equipment_id,scenario,lambda,beta,trend,n_failures,total_time
EQ-001,constant,3.1648444527603568,0.3006709287506396,Growth,17,268.0554360692609
EQ-002,growth,0.27463902010357355,0.7275085778953767,Growth,22,413.69905441662877
EQ-003,constant,4.394048764748739,0.2724987274456771,Growth,22,369.1446739623454
EQ-004,decay,0.0015349845115369355,1.6130110747581423,Decay,32,476.0246734648881
EQ-005,constant,6.993075671829486,0.23506530582934101,Growth,28,365.6571982507838
EQ-006,decay,0.004849675182867821,1.5426647137527834,Decay,25,254.90209598985479
EQ-007,growth,0.7949088674662036,0.5775410447262733,Growth,26,419.3673036151266
EQ-008,growth,0.31367234674994476,0.7587872176403961,Growth,34,480.7450482171622
EQ-009,decay,0.0024023313776561895,1.5677617949822538,Decay,31,418.82884396604214
EQ-010,growth,0.46905395754057366,0.6937542044309779,Growth,23,273.36898577739805
